18/02/2016 23:19:47 - New match 11348965 has started
18/02/2016 23:20:47 - Roman killed Nick using AK47
18/02/2016 23:21:47 - <WORLD> killed Nick by DROWN
18/02/2016 23:22:47 - Roman killed Nick using AK47
18/02/2016 23:23:47 - <WORLD> killed Nick by DROWN
18/02/2016 23:24:47 - Roman killed Nick using M16
18/02/2016 23:25:47 - <WORLD> killed Nick by DROWN
18/02/2016 23:26:47 - Roman killed Nick using AK47
18/02/2016 23:27:47 - <WORLD> killed Nick by DROWN
18/02/2016 23:28:47 - Roman killed Nick using AK47
18/02/2016 23:29:47 - <WORLD> killed Nick by DROWN
18/02/2016 23:30:47 - Roman killed Nick using M16
18/02/2016 23:31:47 - <WORLD> killed Nick by DROWN
18/02/2016 23:32:47 - Roman killed Nick using M16
18/02/2016 23:33:47 - Roman killed Nick using AK47
18/02/2016 23:34:47 - Natan killed Nick using M16
18/02/2016 23:35:47 - Natan killed Nick using M16
18/02/2016 23:36:47 - Nick killed Z99ptrz99 using AK47
18/02/2016 23:37:47 - Nick killed Z99ptrz99 using M16
18/02/2016 23:38:47 - Nick killed Z99ptrz99 using M16
18/02/2016 23:39:47 - Nick killed Roman using M16
18/02/2016 23:40:47 - Natan killed Nick using M16
18/02/2016 23:41:47 - Natan killed Nick using M16
18/02/2016 23:42:47 - Natan killed Nick using AK47
18/02/2016 23:43:47 - Roman killed Nick using M16
18/02/2016 23:44:47 - Roman killed Nick using M16
18/02/2016 23:45:47 - Roman killed Nick using AK47
18/02/2016 23:46:47 - Roman killed Nick using AK47
18/02/2016 23:47:47 - Roman killed Nick using AK47
18/02/2016 23:48:47 - Roman killed Nick using M16
18/02/2016 23:49:47 - Roman killed Nick using M16
18/02/2016 23:50:47 - Roman killed Nick using M16
18/02/2016 23:51:47 - Roman killed Nick using M16
18/02/2016 23:52:47 - Roman killed Nick using M16
18/02/2016 23:53:47 - Roman killed Nick using M16
18/02/2016 23:54:47 - Z99ptrz99 killed Nick using M16
18/02/2016 23:55:47 - Z99ptrz99 killed Nick using AK47
18/02/2016 23:56:47 - Z99ptrz99 killed Nick using AK47
18/02/2016 23:57:47 - Z99ptrz99 killed Nick using AK47
18/02/2016 23:58:47 - Z99ptrz99 killed Nick using M16
18/02/2016 23:59:47 - Z99ptrz99 killed Nick using M16
19/02/2016 00:00:47 - Z99ptrz99 killed Nick using M16
19/02/2016 00:01:47 - <WORLD> killed Nick by DROWN
19/02/2016 00:02:47 - <WORLD> killed Nick by DROWN
19/02/2016 00:03:47 - <WORLD> killed Nick by DROWN
19/02/2016 00:04:47 - Nick killed <WORLD> using AK47
19/02/2016 00:05:47 - Roman killed <WORLD> using M16
19/02/2016 00:06:47 - Z99ptrz99 killed <WORLD> using M16
19/02/2016 00:07:47 - Nick killed <WORLD> using M16
19/02/2016 00:08:47 - Match 11348965 has ended
